,x,y
0,2500.9142168999998,10481.138640000001
1,2514.1658916,10482.324336000001
2,2514.2506608999997,10482.351107999999
3,2501.3721711,10481.813183999999
4,2501.26096,10481.566716
5,2503.586283,10487.333
6,2502.5259445999995,10483.348664000001
7,2502.6653751,10483.259516
8,2502.0216617,10482.067748
9,2502.0172177,10481.359256
10,2504.4755274,10481.413076
11,2503.037449,10483.199808
12,2502.8105828,10480.59124
13,2503.4641841,10480.797504
14,2509.0537362,10483.456948000001
15,2502.4148446,10481.565704
16,2504.1107861,10483.487124
17,2498.2788137999996,10481.946952
18,2502.2906347999997,10483.624204
19,2502.8249147,10480.427204
20,2568.1821560999997,10419.671508
21,2502.0823222999998,10479.880079999999
22,2501.5589302,10479.756248
23,2502.0306607999996,10480.007959999999
24,2508.7793192,10483.68612
25,2500.3670494,10481.200924
26,2501.514268,10480.940932
27,2504.2555494,10480.364828
28,2505.8372801,10482.894644
29,2502.8051388999997,10481.030816
30,2498.3276978,10481.989732
31,2503.2132092,10480.135839999999
32,2502.4756163,10481.282988
33,2500.7444560999998,10481.59542
34,2500.7444560999998,10481.59542
35,2502.4433972999996,10481.398815999999
36,2498.2328184,10480.65242
37,2501.7304685999998,10481.333496
38,2500.6331339,10481.157776
39,2506.6870839999997,10485.25472
40,2506.1995772,10485.711408
41,2498.221264,10480.96476
42,2502.3855141999998,10481.713456
43,2501.4128336999997,10481.746299999999
44,2501.8891194,10481.728912
45,2565.9448242999997,10421.161356
46,2503.647388,10481.055656
47,2499.2153867999996,10482.1327
48,2502.3658494999995,10481.908128000001
49,2499.4516965,10482.029016
50,2502.6614865999995,10481.613728
51,2506.7441894,10486.360283999999
52,2499.4689169999997,10480.669256
53,2498.1382723,10480.142648
54,2498.4159111999998,10480.538340000001
55,2502.000886,10480.673396
56,2506.6084251999996,10486.13976
57,2500.7725643999997,10480.418096
58,2505.0768006,10481.3116
59,2504.2969897,10482.772468
61,2501.5290443,10481.621088
62,2502.72389147,10486.364239999999
63,2505.1473490999997,10485.1618
64,2507.0104960999997,10480.813788
65,2504.203999,10480.507888
66,2503.7659317,10485.715916
67,2505.2998893999998,10483.1815
68,2501.4714945,10481.19982
69,2503.0861108,10487.797783999999
70,2501.4714945,10481.19982
71,2504.2585491,10485.558688000001
72,2498.3376968,10482.23942
73,2498.7257690999995,10482.094888
74,2508.4873484,10483.873524
75,2503.3139769,10480.672752
76,2500.4193775,10481.600204
77,2504.7612765999997,10481.927539999999
78,2506.1536929,10483.455384
79,2504.4098673,10480.837616
80,2503.5948377,10485.515264
81,2502.7344792999997,10481.080312
82,2504.3182097999997,10481.542612
83,2498.090166,10481.35576
85,2504.3038779,10483.451336
86,2506.6420885,10484.756539999998
87,2503.9804658,10481.10828
88,2503.6843842999997,10481.292739999999
89,2503.0256724,10479.973828
90,2504.6659528,10481.447392
91,2500.4129336999995,10480.730068
92,2504.4193107999995,10482.443936000001
94,2504.00513,10485.952816
95,2503.7662649999997,10484.888744
96,2502.0599912,10481.71916
97,2498.9992973,10482.279348
98,2504.4499744,10481.23386
99,2505.500536,10481.169552000001
100,2499.4073676,10480.271448
101,2502.7851408999995,10480.237868
102,2508.8462013999997,10484.063596
103,2503.2275410999996,10480.577348
104,2497.4039012999997,10477.988468
105,2497.4470081,10477.77328
106,2504.7690536,10482.22654
107,2504.4574181,10481.606
108,2503.7861519,10480.504116
109,2504.5558527,10481.686684
110,2503.4905148,10479.797279999999
111,2503.4575180999996,10480.076868
112,2503.7690425,10481.106624
113,2503.4011904,10480.465384000001
114,2502.3854030999996,10480.196192
115,2504.3553171999997,10485.073204
116,2505.5075352999997,10485.625020000001
117,2505.6777405,10483.104772
118,2509.806772,10484.840812
119,2509.5471313,10484.781104
121,2500.6520209,10479.23148
122,2503.9712444999996,10494.589776
123,2501.1457493,10481.446288
124,2500.7703424,10480.984172
125,2503.3361969,10480.647452
126,2505.0561359999997,10481.166884
127,2502.9299042,10481.111592000001
129,2504.1717799999997,10485.676631999999
130,2503.4505188000003,10483.36918
131,2502.5232782,10480.71682
132,2506.1735798,10485.819784000001
133,2506.1189185999997,10486.660296
134,2502.8864641,10481.016096
135,2503.0143402,10479.9431
136,2502.1882006,10480.858683999999
137,2501.6562538,10481.532952
138,2499.0054078,10481.426416
140,2502.411956,10481.291175999999
141,2503.8160378000002,10480.430792000001
142,2498.2273744999998,10480.738163999999
143,2504.597293,10482.909548
144,2504.5159678,10482.788384
145,2499.0198508,10481.192000000001
146,2501.0529808,10482.165544
147,2500.5924713,10481.832504
148,2500.6880173,10482.087436
149,2501.0529808,10482.165544
150,2500.5373656999996,10481.947872
151,2501.1310841,10481.832412
152,2500.4166,10481.831307999999
153,2507.6132135999997,10483.454647999999
154,2501.6373668,10481.303504
155,2502.2363069,10480.502092
156,2501.3443961,10481.626516
157,2510.0726342999997,10484.829036
158,2508.8537562,10482.790868
159,2507.7887515999996,10484.143268
160,2502.5213894999997,10483.258319999999
161,2501.6674749,10481.047284
162,2501.0880884,10481.284092
163,2504.7980506999997,10482.032236
164,2506.4768828,10487.270256
165,2500.6745742,10481.053356
166,2502.9630119999997,10480.131516
167,2504.0619020999998,10480.97304
168,2503.2299853,10487.691156
170,2505.4220993999998,10483.89772
171,2500.3287199,10481.077368
172,2503.6888283,10481.103127999999
173,2504.2368846,10479.97208
174,2504.0430150999996,10479.856896000001
175,2503.8643663,10479.824236
176,2503.6942722,10481.149312
177,2502.5346104,10482.03242
178,2502.7242581,10481.416388
179,2500.9548795,10481.256584
180,2504.4660839,10481.924136
181,2504.7826078,10480.904684
182,2503.23854,10479.802064
183,2505.3302197,10485.487572
185,2502.6765962,10481.315464
186,2506.2629042,10482.226907999999
187,2505.1435717,10483.989720000001
188,2499.1443938999996,10481.312979999999
189,2500.0483034999997,10480.920048
190,2504.0081296999997,10481.235884
191,2572.3035217,10426.719812
192,2500.9770995,10481.875928000001
193,2504.1222294,10480.716176
194,2499.0540696,10481.51446
195,2502.6301564,10481.039004
196,2500.7461226,10480.938447999999
197,2501.2157423,10481.741608
198,2502.9938978,10479.766552
199,2506.5158788999997,10486.577127999999
200,2502.6578203,10481.420252
201,2505.1742352999995,10481.052803999999
202,2508.6098917,10483.888244
